divkFa,x,scaled_E,corr_method,lsite_min,lsite_max
0.0,0.12280701754385964,0.905609699343525,Chevy-CCD,10.0,12.0
0.0,0.21212121212121213,0.8611338414611502,Chevy-CCD,10.0,12.0
0.0,0.25925925925925924,0.8451010713851929,Chevy-CCD,10.0,12.0
0.0,0.3333333333333333,0.828761717977671,Chevy-CCD,10.0,12.0
0.0,0.3684210526315789,0.8205772852813107,Chevy-CCD,10.0,12.0
0.0,0.47368421052631576,0.8257080381825166,Chevy-CCD,10.0,12.0
0.0,0.5757575757575758,0.8396568721532588,Chevy-CCD,10.0,12.0
0.0,0.5789473684210527,0.8387745950113105,Chevy-CCD,10.0,12.0
0.0,0.12280701754385964,0.9569972037573679,Chevy-CID,8.0,10.0
0.0,0.21212121212121213,0.9485589667792508,Chevy-CID,8.0,10.0
0.0,0.25925925925925924,0.9500389768131667,Chevy-CID,8.0,10.0
0.0,0.3684210526315789,0.9680419168270299,Chevy-CID,8.0,10.0
0.0,0.5757575757575758,1.153328246683523,Chevy-CID,8.0,10.0
0.0,0.7037037037037037,1.2561721810239441,Chevy-CID,8.0,10.0
0.0,0.212,0.87,FN-DMC,,
0.0,0.259,0.85,FN-DMC,,
0.0,0.576,0.84,FN-DMC,,
0.0,0.704,0.88,FN-DMC,,
0.0,0.818,0.95,FN-DMC,,
0.0,1.0,1.12,FN-DMC,,
0.2,0.12280701754385964,0.8735486632053563,Chevy-CCD,10.0,12.0
0.2,0.21212121212121213,0.8046480547693894,Chevy-CCD,10.0,12.0
0.2,0.25925925925925924,0.7766809165993813,Chevy-CCD,10.0,12.0
0.2,0.3333333333333333,0.7429153782158506,Chevy-CCD,10.0,12.0
0.2,0.3684210526315789,0.7214705988221731,Chevy-CCD,10.0,12.0
0.2,0.47368421052631576,0.7068272268536149,Chevy-CCD,10.0,12.0
0.2,0.12280701754385964,0.9552439795341944,Chevy-CID,8.0,10.0
0.2,0.21212121212121213,0.9408737631603249,Chevy-CID,8.0,10.0
0.2,0.25925925925925924,0.9390442975537768,Chevy-CID,8.0,10.0
0.2,0.3684210526315789,0.9491254919986338,Chevy-CID,8.0,10.0
0.2,0.5757575757575758,1.1581052517844523,Chevy-CID,8.0,10.0
0.2,0.7037037037037037,1.2570163114671833,Chevy-CID,8.0,10.0
0.2,0.8181818181818182,1.4228009174133442,Chevy-CID,8.0,10.0
0.2,0.212,0.81,FN-DMC,,
0.2,0.259,0.78,FN-DMC,,
0.2,0.576,0.69,FN-DMC,,
0.2,0.704,0.69,FN-DMC,,
0.2,0.818,0.75,FN-DMC,,
0.2,1.0,0.88,FN-DMC,,
0.4,0.12280701754385964,0.8314072343620805,Chevy-CCD,10.0,12.0
0.4,0.21212121212121213,0.725663202253929,Chevy-CCD,10.0,12.0
0.4,0.25925925925925924,0.68099489945638,Chevy-CCD,10.0,12.0
0.4,0.3333333333333333,0.6029076139712566,Chevy-CCD,10.0,12.0
0.4,0.3684210526315789,0.5740770394026277,Chevy-CCD,10.0,12.0
0.4,0.12280701754385964,0.9636389930404899,Chevy-CID,8.0,10.0
0.4,0.21212121212121213,0.941385683015409,Chevy-CID,8.0,10.0
0.4,0.25925925925925924,0.9354083495027888,Chevy-CID,8.0,10.0
0.4,0.3684210526315789,0.9357086319219505,Chevy-CID,8.0,10.0
0.4,0.5757575757575758,1.1877861298761327,Chevy-CID,8.0,10.0
0.4,0.7037037037037037,1.2814540471720661,Chevy-CID,8.0,10.0
0.4,0.8181818181818182,1.4725958563344608,Chevy-CID,8.0,10.0
0.4,0.212,0.72,FN-DMC,,
0.4,0.259,0.67,FN-DMC,,
0.4,0.576,0.47,FN-DMC,,
0.4,0.704,0.41,FN-DMC,,
0.4,0.818,0.42,FN-DMC,,
0.4,1.0,0.51,FN-DMC,,
