divkFa,Nup,Ndown,x,scaled_E,corr_method,lsite
-0.5,19,7,0.3684210526315789,0.9189841934455716,ppRPA,10
-0.5,19,7,0.3684210526315789,0.9162573526461341,ppRPA,12
-0.5,57,27,0.47368421052631576,0.958226768934683,ppRPA,6
-0.5,57,27,0.47368421052631576,0.9481777946972507,ppRPA,8
-0.5,57,27,0.47368421052631576,0.9446204123839177,ppRPA,10
-0.5,57,27,0.47368421052631576,0.9411721065467893,ppRPA,12
-0.5,33,19,0.5757575757575758,0.9954322217965557,ppRPA,6
-0.5,33,19,0.5757575757575758,0.9874579062954199,ppRPA,8
-0.5,33,19,0.5757575757575758,0.9812613410679375,ppRPA,10
-0.5,33,19,0.5757575757575758,0.9761331464314735,ppRPA,12
-0.5,57,33,0.5789473684210527,0.9967088726319022,ppRPA,6
-0.5,57,33,0.5789473684210527,0.9802172405837729,ppRPA,8
-0.5,27,19,0.7037037037037037,1.07376616362281,ppRPA,6
-0.5,27,19,0.7037037037037037,1.0635571857746515,ppRPA,8
-0.5,27,19,0.7037037037037037,1.0536886556269105,ppRPA,10
-0.5,27,19,0.7037037037037037,1.0449325823843316,ppRPA,12
0.0,57,7,0.12280701754385964,0.890485265932798,Chevy-CCD,6
0.0,57,7,0.12280701754385964,0.8934959009713266,Chevy-CCD,8
0.0,57,7,0.12280701754385964,0.8960480786998875,Chevy-CCD,10
0.0,57,7,0.12280701754385964,0.8976416821404937,Chevy-CCD,12
0.0,33,7,0.21212121212121213,0.8418862546072454,Chevy-CCD,6
0.0,33,7,0.21212121212121213,0.8471735294558691,Chevy-CCD,8
0.0,33,7,0.21212121212121213,0.8501918210462104,Chevy-CCD,10
0.0,33,7,0.21212121212121213,0.8520154911153671,Chevy-CCD,12
0.0,27,7,0.25925925925925924,0.8260294749288942,Chevy-CCD,6
0.0,27,7,0.25925925925925924,0.8313862954703278,Chevy-CCD,8
0.0,27,7,0.25925925925925924,0.8342923836225392,Chevy-CCD,10
0.0,27,7,0.25925925925925924,0.8360938315829816,Chevy-CCD,12
0.0,57,19,0.3333333333333333,0.7907193731589931,Chevy-CCD,6
0.0,57,19,0.3333333333333333,0.7981086315705485,Chevy-CCD,8
0.0,57,19,0.3333333333333333,0.8045360166828015,Chevy-CCD,10
0.0,57,19,0.3333333333333333,0.8085736335652797,Chevy-CCD,12
0.0,19,7,0.3684210526315789,0.8004501922299712,Chevy-CCD,6
0.0,19,7,0.3684210526315789,0.8061541898602783,Chevy-CCD,8
0.0,19,7,0.3684210526315789,0.8092096541289442,Chevy-CCD,10
0.0,19,7,0.3684210526315789,0.8111042593210054,Chevy-CCD,12
0.0,57,27,0.47368421052631576,0.7740737674718206,Chevy-CCD,6
0.0,57,27,0.47368421052631576,0.7833650993470902,Chevy-CCD,8
0.0,57,27,0.47368421052631576,0.7922346938445977,Chevy-CCD,10
0.0,57,27,0.47368421052631576,0.7978135845675842,Chevy-CCD,12
0.0,33,19,0.5757575757575758,0.7939541847927407,Chevy-CCD,6
0.0,33,19,0.5757575757575758,0.8058237139682223,Chevy-CCD,8
0.0,33,19,0.5757575757575758,0.8131811558054054,Chevy-CCD,10
0.0,33,19,0.5757575757575758,0.8175937751967144,Chevy-CCD,12
0.0,57,33,0.5789473684210527,0.7803153964053731,Chevy-CCD,6
0.0,57,33,0.5789473684210527,0.7909512713476976,Chevy-CCD,8
